region,district,code,name,type,type_category,ownership_category,ownership_authority,status
Kagera,Muleba Dc,103438-8,KYOTA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Kilimanjaro,Moshi Dc,103436-2,KYOMU,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mbeya,Rungwe Dc,103435-4,KYOBO,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mbeya,Rungwe Dc,103434-7,KYIMO,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Kagera,Kyerwa Dc,103433-9,KYERWA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Kagera,Missenyi Dc,103431-3,KYELIMA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mbeya,Kyela Dc,103430-5,KYELA,District Hospital,Hospitali ya Wilaya,Public,LGA,Operating
Kilimanjaro,Hai Dc,103429-7,KYEERI,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Kagera,Muleba Dc,103428-9,KYEBITEMBE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mara,Butiama Dc,103427-1,KYAWAZARWE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Kagera,Muleba Dc,103424-8,KYAMYORWA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Kagera,Bukoba Dc,103423-0,KYAMULAILE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Kagera,Bukoba Dc,103422-2,KYAMALANGE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Kagera,Missenyi Dc,103421-4,KYAKA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Kilimanjaro,Same Dc,103420-6,KWIZU,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Kigoma,Kigoma Dc,103419-8,KWITANGA,Dispensary,Zahanati (Dispensary),Public,Prisons,Operating
Morogoro,Ulanga Dc,103418-0,KWIRO,Dispensary,Zahanati (Dispensary),Private,Faith Based Organization (FBO),Operating
Tanga,Kilindi Dc,103417-2,KWINJI,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mara,Musoma Dc,103416-4,KWIKUBA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mwanza,Ukerewe Dc,103412-3,KWERU,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Tanga,Korogwe Dc,103411-5,KWENANGU,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Tanga,Bumbuli Dc,103410-7,KWEMKOMOLE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Tanga,Korogwe Dc,103409-9,KWEMKOLE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Dar Es Salaam,Ubungo Mc,103408-1,KWEMBE KATI,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Dar Es Salaam,Ubungo Mc,103407-3,KWEMBE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Tanga,Korogwe Dc,103406-5,KWEMAZANDU,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Shinyanga,Kahama Tc,103405-7,KWEMA PRIMARY SCHOOL,Health Center,Kituo cha Afya,Private,For Profit,Operating
Tanga,Kilindi Dc,103403-2,KWEKIVU,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Tanga,Lushoto Dc,103402-4,KWEKANGA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Tanga,Kilindi Dc,103401-6,KWEISAPO,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Coast,Chalinze Dc,103400-8,KWEIKONJE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Tanga,Bumbuli Dc,103399-2,KWEHANGALA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Tanga,Handeni Dc,103398-4,KWEDIZINGA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Tanga,Handeni Dc,103397-6,KWEDITILIBE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Tanga,Kilindi Dc,103396-8,KWEDIBOMA,Health Center,Kituo cha Afya,Private,For Profit,Operating
Iringa,Mufindi Dc,103395-0,KWATWANGA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Kilimanjaro,Hai Dc,103394-3,KWATITO,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Tanga,Muheza Dc,103393-5,KWATANGO,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Tanga,Handeni Dc,103392-7,KWASUNGA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Tanga,Korogwe Dc,103391-9,KWASHEMSHI,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Kilimanjaro,Hai Dc,103390-1,KWASADALA COGI,Dispensary,Zahanati (Dispensary),Private,Faith Based Organization (FBO),Operating
Coast,Chalinze Dc,103389-3,KWARUHOMBO,Health Center,Kituo cha Afya,Public,LGA,Operating
Kilimanjaro,Hai Dc,103388-5,KWARE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Tanga,Handeni Dc,103387-7,KWARAGURU,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Tanga,Handeni Dc,103386-9,KWANKONJE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Coast,Chalinze Dc,103385-1,KWANG&#039;ANDU,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mara,Musoma Dc,103384-4,KWANGWA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Tanga,Handeni Dc,103383-6,KWANDUGWA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Dodoma,Chemba Dc,103382-8,KWAMTORO,Health Center,Kituo cha Afya,Public,LGA,Operating
Tanga,Korogwe Dc,103381-0,KWAMSISI,Health Center,Kituo cha Afya,Public,LGA,Operating
Tanga,Handeni Dc,103380-2,KWAMSISI,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Coast,Chalinze Dc,103379-4,KWAMSANJA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Tanga,Korogwe Dc,103376-0,KWAMNDOLWA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Tanga,Handeni Dc,103374-5,ST. FRANCIS KWAMKONO,Hospital at District Level,Hospitali ya Wilaya,Private,Faith Based Organization (FBO),Operating
Coast,Chalinze Dc,103373-7,KWAMDUMA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Tanga,Korogwe Dc,103372-9,KWAMDULU ESTATE,Medical Clinic,Kliniki,Private,For Profit,Operating
Ruvuma,Nyasa Dc,103370-3,KWAMBE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Tanga,Kilindi Dc,103369-5,KWAMBA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Tanga,Handeni Dc,103367-9,KWAMATUKU,Dispensary,Zahanati (Dispensary),Private,Faith Based Organization (FBO),Operating
Tanga,Kilindi Dc,103366-1,KWALUGURU,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Tanga,Korogwe Dc,103364-6,KWAKOMBO,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Kilimanjaro,Mwanga Dc,103363-8,KWAKOA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Tanga,Pangani Dc,103360-4,KWAKIBUYU,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Tanga,Korogwe Dc,103359-6,KWAKIBOMI,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Tanga,Lushoto Dc,103358-8,ST. CATHERRINE,Health Center,Kituo cha Afya,Private,Faith Based Organization (FBO),Operating
Dodoma,Kondoa Dc,103357-0,Kwahengwa,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Kigoma,Kasulu Dc,103355-4,KWAGA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Tanga,Muheza Dc,103354-7,KWAFUNGO,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Dodoma,Kondoa Dc,103353-9,KWADELO,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Tanga,Handeni Dc,103352-1,KWACHAGA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Tanga,Muheza Dc,103351-3,KWABADA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Arusha,Meru Dc,103350-5,KWA UGORO,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Manyara,Mbulu Dc,103347-1,KUTA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mara,Rorya Dc,103345-5,KURUYA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mara,Bunda Dc,103344-8,KURUSANGA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Coast,Kisarawe Dc,103343-0,KURUI,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mara,Musoma Dc,103342-2,KURUGEE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mara,Bunda Dc,103340-6,KUNZUGU,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Coast,Mafia Dc,103339-8,Kungwi,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Dar Es Salaam,Kinondoni Mc,103336-4,KUNDUCHI,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Kigoma,Kibondo Dc,103335-6,KUMUHASHA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Kigoma,Kibondo Dc,103334-9,KUMUHAMA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Kagera,Ngara Dc,103333-1,Kumugamba,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Kagera,Ngara Dc,103332-3,KUMUBUGA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Kigoma,Kibondo Dc,103331-5,KUMUBANGA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Kigoma,Kibondo Dc,103330-7,KUMSENGA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Kigoma,Kibondo Dc,103329-9,KUMKUGWA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Tanga,Korogwe Dc,103327-3,KULASI,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mbeya,Mbeya Cc,103323-2,K&#039;S,Hospital at Regional Level,Hospitali ya Mkoa (Rufaa),Private,For Profit,Operating
Mara,Rorya Dc,103321-6,KOWAK,Hospital at District Level,Hospitali ya Wilaya,Private,Faith Based Organization (FBO),Operating
Rukwa,Nkasi Dc,103320-8,Korongwe,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mwanza,Misungwi Dc,103319-0,KOROMIJE,Health Center,Kituo cha Afya,Public,LGA,Operating
Tanga,Korogwe Dc,103318-2,KOROGWE TTC,Medical Clinic,Kliniki,Public,Parastatal,Operating
Tanga,Korogwe Dc,103317-4,KOROGWE GIRLS SECONDARY SCHOOL,Medical Clinic,Kliniki,Public,LGA,Operating
Tanga,Korogwe Dc,103316-6,BAKWATA,Level IA1 (Health Center Laboratory),Kituo cha Afya,Private,For Profit,Operating
Mara,Serengeti,103314-1,KONO,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Tanga,Handeni Dc,103313-3,KONJE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Dodoma,Kongwa Dc,103311-7,KONGWA,District Hospital,Hospitali ya Wilaya,Public,LGA,Operating
Morogoro,Morogoro Dc,103310-9,KONGWA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Coast,Kibaha Dc,103309-1,Kongowe Forest,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mwanza,Magu Dc,103306-7,KONGOLO,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Dodoma,Bahi Dc,103305-9,Kongogo,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Tabora,Igunga Dc,103304-2,KONGOMBITI,Dispensary,Zahanati (Dispensary),Public,(not set),Operating
Coast,Bagamoyo Dc,103303-4,KONGO,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Tanga,Lushoto Dc,103302-6,Kongei,Dispensary,Zahanati (Dispensary),Private,Faith Based Organization (FBO),Operating
Dodoma,Kondoa Dc,103298-6,KONDOA,Dispensary,Zahanati (Dispensary),Private,Faith Based Organization (FBO),Operating
Dodoma,Kondoa Dc,103297-8,KONDOA,District Hospital,Hospitali ya Wilaya,Public,LGA,Operating
Tanga,Handeni Dc,103294-5,KOMSANGA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Tanga,Handeni Dc,103293-7,KOMSALA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Manyara,Simanjiro Dc,103292-9,KOMOLO,Dispensary,Zahanati (Dispensary),Private,Faith Based Organization (FBO),Operating
Tanga,Handeni Dc,103291-1,KOMKONGA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Tanga,Handeni Dc,103290-3,KOMKOLE B,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mwanza,Buchosa Dc,103288-7,KOME,Health Center,Kituo cha Afya,Public,LGA,Operating
Mara,Musoma Dc,103287-9,KOME,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Tabora,Kaliua Dc,103285-3,KOMBE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Dodoma,Kondoa Dc,103283-8,Kolo,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Morogoro,Morogoro Dc,103281-2,KOLERO,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Shinyanga,Shinyanga Dc,103280-4,KOLANDOTO,Hospital at District Level,Hospitali ya Wilaya,Private,Faith Based Organization (FBO),Operating
Kilimanjaro,Moshi Dc,103279-6,KOKIRIE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mara,Rorya Dc,103278-8,KOGAJA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Morogoro,Mvomero Dc,103277-0,KODODO,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mwanza,Buchosa Dc,103273-9,KMT MKUYUNI,Dispensary,Zahanati (Dispensary),Private,Faith Based Organization (FBO),Operating
Geita,Chato Dc,103272-1,MUGANZA,Dispensary,Zahanati (Dispensary),Private,Faith Based Organization (FBO),Operating
Mwanza,Ilemela Mc,103270-5,KMT BUSWELU,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Dar Es Salaam,Temeke Mc,103268-9,KEKO MEDICAL SERVICES,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Kilimanjaro,Same Dc,103264-8,LUTHERAN,Dispensary,Zahanati (Dispensary),Private,Faith Based Organization (FBO),Operating
Kagera,Bukoba Dc,103262-2,KJ 21,Dispensary,Zahanati (Dispensary),Public,Military,Operating
Rukwa,Sumbawanga Dc,103261-4,KIZWITE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Rukwa,Sumbawanga Dc,103258-0,Kizungu,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Shinyanga,Shinyanga Dc,103257-2,KIZUMBI- JWTZ,Dispensary,Zahanati (Dispensary),Public,Military,Operating
Shinyanga,Shinyanga Dc,103256-4,KIZUMBI,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Rukwa,Nkasi Dc,103255-6,Kizumbi,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Morogoro,Morogoro Dc,103254-9,KIZUKA JWTZ,Dispensary,Zahanati (Dispensary),Public,Military,Operating
Ruvuma,Songea Dc,103253-1,KIZUKA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Rukwa,Kalambo Dc,103250-7,KIZOMBWE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Morogoro,Morogoro Dc,103248-1,KIZINGA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Kigoma,Kigoma Dc,103247-3,KIZIBA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Dodoma,Mpwapwa Dc,103246-5,KIZI,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Rukwa,Nkasi Dc,103245-7,Kizi,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Tabora,Igunga Dc,103244-0,KIZENGI,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Kigoma,Kigoma Dc,103243-2,KIZENGA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mara,Butiama Dc,103242-4,KIZARU,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Tanga,Korogwe Dc,103241-6,KIZARA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Njombe,Ludewa Dc,103239-0,KIYOMBO,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Njombe,Ludewa Dc,103238-2,KIYOGO,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mtwara,Nanyamba Tc,103237-4,KIYANGA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mbeya,Rungwe Dc,103236-6,KIWIRA,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Mbeya,Rungwe Dc,103235-8,KIWIRA FOREST,Dispensary,Zahanati (Dispensary),Public,Parastatal,Operating
Mbeya,Kyela Dc,103234-1,KIWIRA COAL AND POWER,Dispensary,Zahanati (Dispensary),Public,Parastatal,Operating
Mbeya,Rungwe Dc,103232-5,KIWIRA GOV,Health Center,Kituo cha Afya,Public,LGA,Operating
Morogoro,Morogoro Dc,103231-7,KIWEGE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Njombe,Ludewa Dc,103230-9,KIWE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Lindi,Kilwa Dc,103229-1,KIWAWA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Lindi,Lindi Dc,103228-3,KIWAWA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mbeya,Mbeya Cc,103227-5,KIWANJA MPAKA,Health Center,Kituo cha Afya,Public,LGA,Operating
Coast,Chalinze Dc,103224-2,KIWANGWA,Health Center,Kituo cha Afya,Public,LGA,Operating
Coast,Rufiji Dc,103223-4,KIWANGA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Tanga,Muheza Dc,103222-6,KIWANDA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Coast,Mkuranga Dc,103221-8,KIWAMBO,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Dar Es Salaam,Ilala Mc,103220-0,KIWALANI,Health Center,Kituo cha Afya,Public,LGA,Operating
Iringa,Kilolo Dc,103219-2,KIWALAMO,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Morogoro,Kilosa Dc,103218-4,Kivungu,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Dar Es Salaam,Ilala Mc,103216-8,KIVULE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Kilimanjaro,Mwanga Dc,103214-3,KIVISINI,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Coast,Kibiti Dc,103213-5,KIVINJA B,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Coast,Kibiti Dc,103212-7,KIVINJA A,Health Center,Kituo cha Afya,Public,LGA,Operating
Tanga,Lushoto Dc,103211-9,KIVINGO,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Kilimanjaro,Rombo Dc,103209-3,KIUNGU,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Ruvuma,Tunduru Dc,103208-5,KIUMMA,Hospital at District Level,Hospitali ya Wilaya,Private,Faith Based Organization (FBO),Operating
Iringa,Iringa Dc,103207-7,KITWIRU,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Kagera,Kyerwa Dc,103206-9,KITWECHENKURA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Manyara,Simanjiro Dc,103205-1,KITWAI A,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Kilimanjaro,Same Dc,103204-4,KITUVI,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Ruvuma,Mbinga Dc,103203-6,KITURA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Tabora,Sikonge Dc,103202-8,KITUNDA MISSION,Dispensary,Zahanati (Dispensary),Private,Faith Based Organization (FBO),Operating
Tabora,Sikonge Dc,103201-0,KITUNDA,Health Center,Kituo cha Afya,Public,LGA,Operating
Dar Es Salaam,Ilala Mc,103198-8,KITUNDA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Arusha,Longido Dc,103195-4,KETUMBEINE,Dispensary,Zahanati (Dispensary),Private,Faith Based Organization (FBO),Operating
Njombe,Makete Dc,103194-7,KITULO,Dispensary,Zahanati (Dispensary),Public,Parastatal,Operating
Njombe,Njombe Dc,103193-9,KITULILA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Kagera,Muleba Dc,103192-1,KITUA,Dispensary,Zahanati (Dispensary),Private,Faith Based Organization (FBO),Operating
Singida,Itigi Dc,103191-3,KITOPENI,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mwanza,Magu Dc,103190-5,KITONGOSIMA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Geita,Bukombe Dc,103189-7,KITONGO,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Lindi,Lindi Dc,103186-3,KITOMANGA,Health Center,Kituo cha Afya,Public,LGA,Operating
Lindi,Liwale Dc,103185-5,KITOGORO,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Kagera,Missenyi Dc,103184-8,KITOBO,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Iringa,Iringa Dc,103182-2,KITISI,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Kilimanjaro,Mwanga Dc,103181-4,KITI CHA MUNGU,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Njombe,Ludewa Dc,103180-6,KITEWELE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Dodoma,Kongwa Dc,103179-8,KITETO,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Morogoro,Kilosa Dc,103178-0,Kitete Msindazi,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Morogoro,Kilosa Dc,103176-4,KITETE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mtwara,Mtwara Dc,103175-6,KITERE,Health Center,Kituo cha Afya,Public,LGA,Operating
Dodoma,Kondoa Dc,103174-9,KITEO,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Kagera,Karagwe Dc,103172-3,KITENGULE PRISON,Dispensary,Zahanati (Dispensary),Public,Prisons,Operating
Arusha,Longido Dc,103171-5,KITENDENI,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mara,Serengeti,103170-7,KITEMBERE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Kigoma,Kasulu Dc,103169-9,KITEMA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Arusha,Meru Dc,103167-3,KITEFU,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mtwara,Nanyamba Tc,103166-5,KITAYA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Iringa,Mufindi Dc,103164-0,KITASENGWA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mara,Butiama Dc,103163-2,RWASERETA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Tabora,Igunga Dc,103162-4,KITANGILI,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Morogoro,Kilosa Dc,103161-6,KITANGE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mtwara,Newala Dc,103160-8,KITANGARI,Health Center,Kituo cha Afya,Public,LGA,Operating
Kigoma,Kasulu Dc,103159-0,KITANGA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Njombe,Makambako Tc,103157-4,KITANDILILO,Dispensary,Zahanati (Dispensary),Private,Faith Based Organization (FBO),Operating
Ruvuma,Tunduru Dc,103155-8,KITANDA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Ruvuma,Namtumbo Dc,103154-1,KITANDA,Dispensary,Zahanati (Dispensary),Private,Faith Based Organization (FBO),Operating
Ruvuma,Mbinga Dc,103153-3,KITANDA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Kigoma,Buhigwe Dc,103152-5,KITAMBUKA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mtwara,Nanyamba Tc,103151-7,KITAMA BONDENI,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mtwara,Tandahimba Dc,103150-9,KITAMA,Health Center,Kituo cha Afya,Public,LGA,Operating
Ruvuma,Tunduru Dc,103149-1,KITALO,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Singida,Manyoni Dc,103148-3,KITALALO,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Ruvuma,Mbinga Dc,103146-7,KITAI,Dispensary,Zahanati (Dispensary),Public,Prisons,Operating
Kigoma,Kibondo Dc,103145-9,KITAHANA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mara,Tarime Dc,103143-4,KITAGUTITI,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Kigoma,Kasulu Dc,103142-6,KITAGATA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Lindi,Kilwa Dc,103141-8,KISWELE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Morogoro,Malinyi Dc,103140-0,KISWAGO,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Rukwa,Kalambo Dc,103139-2,KISUNGAMILE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Rukwa,Kalambo Dc,103138-4,KISUMBAKASOTE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Shinyanga,Ushetu Dc,103136-8,KISUKE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Tanga,Tanga Cc,103135-0,KISOSORA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mara,Bunda Dc,103134-3,KISORYA,Health Center,Kituo cha Afya,Public,LGA,Operating
Coast,Kisarawe Dc,103133-5,KISOPWA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Arusha,Arusha Cc,103131-9,KISONGO LUTHERAN,Dispensary,Zahanati (Dispensary),Private,Faith Based Organization (FBO),Operating
Lindi,Kilwa Dc,103130-1,KISONGO,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Kigoma,Kibondo Dc,103128-5,KISOGWE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Manyara,Babati Dc,103126-9,KISANGAJI,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Kilimanjaro,Same Dc,103125-1,KISIWANI,Health Center,Kituo cha Afya,Public,LGA,Operating
Tanga,Muheza Dc,103124-4,KISIWANI,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Lindi,Kilwa Dc,103123-6,KISIWANI,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Singida,Iramba Dc,103121-0,KISIRIRI,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Iringa,Kilolo Dc,103119-4,KISING&#039;A,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Iringa,Iringa Dc,103118-6,KISING&#039;A,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Njombe,Makete Dc,103117-8,KISINGA,Dispensary,Zahanati (Dispensary),Private,Faith Based Organization (FBO),Operating
Arusha,Meru Dc,103115-2,KISIMIRI CHINI,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Lindi,Kilwa Dc,103113-7,KISIMAMKIKA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Dodoma,Mpwapwa Dc,103112-9,KISIMA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Njombe,Njombe Dc,103111-1,KISILO,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Kilimanjaro,Hai Dc,103110-3,KISIKI,Health Center,Kituo cha Afya,Public,LGA,Operating
Coast,Mkuranga Dc,103109-5,NYOTA YA BAHARI,Health Center,Kituo cha Afya,Private,Faith Based Organization (FBO),Operating
Coast,Mkuranga Dc,103107-9,KISIJU,Health Center,Kituo cha Afya,Public,LGA,Operating
