region,district,code,name,type,type_category,ownership_category,ownership_authority,status
Shinyanga,Kahama Tc,121518-5,MUGWIRA,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,Company/Business Name,Operating
Shinyanga,Kahama Tc,121517-7,DHK,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dar Es Salaam,Kigamboni Mc,121516-9,VUMILIA UKOONI,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Ruvuma,Mbinga Dc,121515-1,LIKWELA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Morogoro,Malinyi Dc,121514-4,ITETE,Health Center,Kituo cha Afya,Public,LGA,Operating
Ruvuma,Tunduru Dc,121512-8,MKAPUNDA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Ruvuma,Tunduru Dc,121511-0,CHIUNGO,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Arusha,Longido Dc,121510-2,ENJILAAY,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Coast,Kibiti Dc,121509-4,MBWERA MAGHARIBI,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Coast,Kibiti Dc,121508-6,RUMA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Arusha,Longido Dc,121507-8,ESOKONOY,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Njombe,Ludewa Dc,121506-0,NSELE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Coast,Kibiti Dc,121505-2,830KJKIBITI,Dispensary,Zahanati (Dispensary),Public,Military,Operating
Coast,Kibiti Dc,121504-5,MANGOMBELA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Coast,Kibiti Dc,121503-7,MSORO,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Coast,Kibiti Dc,121502-9,MJAWA,Health Center,Kituo cha Afya,Public,LGA,Operating
Coast,Kibiti Dc,121501-1,KITEMBO,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Singida,Ikungi Dc,121499-8,KIPUNDA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Njombe,Ludewa Dc,121498-0,MNG&#039;ELENGE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Ruvuma,Tunduru Dc,121497-2,MWONGOZO,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Ruvuma,Tunduru Dc,121496-4,MTENGASHARI,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Ruvuma,Tunduru Dc,121494-9,DARAJAMBILI,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Tanga,Mkinga Dc,121492-3,BANTU,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Njombe,Ludewa Dc,121491-5,MTAPA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Arusha,Arusha Cc,121490-7,ILBORU SECONDARY,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Katavi,Mpanda Dc,121489-9,KAZIMA,Health Center,Kituo cha Afya,Public,LGA,Operating
Katavi,Mpimbwe Dc,121488-1,MAJIMOTO,Health Center,Kituo cha Afya,Public,LGA,Operating
Njombe,Makete Dc,121487-3,MATENGA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Katavi,Nsimbo Dc,121485-7,KATISUNGA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
